Main ID,Incident ID,Incident Type,Region of Incident,Website Date,Number of Dead,Country of Origin,Region of Origin,UNSD Geographical Grouping,Incident year,Number of Missing
2014.MMP00001,2014.MMP00001,Incident,North America,6/1/2014,1,Guatemala,Central America,Northern America,2014,0
2014.MMP00002,2014.MMP00002,Incident,North America,12/1/2014,1,Unknown,Latin America / Caribbean (P),Northern America,2014,0
2014.MMP00003,2014.MMP00003,Incident,North America,14/1/2014,1,Unknown,Latin America / Caribbean (P),Northern America,2014,0
2014.MMP00004,2014.MMP00004,Incident,North America,16/1/2014,1,Mexico,Central America,Northern America,2014,0
2014.MMP00005,2014.MMP00005,Incident,Europe,16/1/2014,1,Sudan,Northern Africa,Northern Europe,2014,0
2014.MMP00006,2014.MMP00006,Incident,North America,17/1/2014,1,Unknown,Latin America / Caribbean (P),Northern America,2014,0
2014.MMP00007,2014.MMP00007,Incident,Mediterranean,19/1/2014,12,Afghanistan,Unknown,Uncategorized,2014,0
2014.MMP00008,2014.MMP00008,Incident,North America,22/1/2014,1,Unknown,Latin America / Caribbean (P),Northern America,2014,0
2014.MMP00009,2014.MMP00009,Incident,North America,24/1/2014,1,Unknown,Latin America / Caribbean (P),Northern America,2014,0
2014.MMP00010,2014.MMP00010,Incident,North America,24/1/2014,1,Unknown,Latin America / Caribbean (P),Northern America,2014,0
2014.MMP00011,2014.MMP00011,Incident,North America,25/1/2014,1,Mexico,Central America,Northern America,2014,0
2014.MMP00012,2014.MMP00012,Incident,North America,28/1/2014,1,Unknown,Latin America / Caribbean (P),Northern America,2014,0
2014.MMP00013,2014.MMP00013,Incident,North America,29/1/2014,1,Unknown,Latin America / Caribbean (P),Northern America,2014,0
2014.MMP00014,2014.MMP00014,Incident,North America,29/1/2014,1,Unknown,Latin America / Caribbean (P),Northern America,2014,0
2014.MMP00015,2014.MMP00015,Incident,Europe,30/1/2014,1,Iran,Southern Asia,Western Europe,2014,0
2014.MMP00016,2014.MMP00016,Incident,Caribbean,30/1/2014,1,Haiti,Caribbean,Caribbean,2014,0
2014.MMP00017,2014.MMP00017,Cumulative Incident,South-eastern Asia,2/2/2014,5,Myanmar,Southern Asia,South-eastern Asia,2014,0
2014.MMP00018,2014.MMP00018,Incident,Mediterranean,6/2/2014,15,Cameroon,Unknown,Uncategorized,2014,0
2014.MMP00019,2014.MMP00019,Incident,North America,11/2/2014,1,Unknown,Latin America / Caribbean (P),Northern America,2014,0
2014.MMP00020,2014.MMP00020,Incident,North America,16/2/2014,1,Unknown,Latin America / Caribbean (P),Northern America,2014,0
2014.MMP00021,2014.MMP00021,Incident,North America,16/2/2014,1,Unknown,Latin America / Caribbean (P),Northern America,2014,0
2014.MMP00022,2014.MMP00022,Incident,Mediterranean,17/2/2014,2,Somalia,Eastern Africa,Uncategorized,2014,0
2014.MMP00023,2014.MMP00023,Incident,North America,17/2/2014,1,Unknown,Latin America / Caribbean (P),Northern America,2014,0
2014.MMP00024,2014.MMP00024,Incident,North America,18/2/2014,1,Mexico,Central America,Northern America,2014,0
2014.MMP00025,2014.MMP00025,Incident,Caribbean,20/2/2014,8,Haiti,Caribbean,Caribbean,2014,0
2014.MMP00026,2014.MMP00026,Incident,North America,20/2/2014,1,Unknown,Latin America / Caribbean (P),Northern America,2014,0
2014.MMP00027,2014.MMP00027,Incident,North America,21/2/2014,1,Unknown,Latin America / Caribbean (P),Northern America,2014,0
2014.MMP00028,2014.MMP00028,Incident,North America,25/2/2014,1,Unknown,Latin America / Caribbean (P),Northern America,2014,0
2014.MMP00029,2014.MMP00029,Incident,Southern Asia,26/2/2014,1,Bangladesh,Southern Asia,Southern Asia,2014,0
2014.MMP00030,2014.MMP00030,Incident,Eastern Africa,26/2/2014,11,Ethiopia,Eastern Africa,Uncategorized,2014,6
2014.MMP00031,2014.MMP00031,Incident,Mediterranean,27/2/2014,7,Somalia,Eastern Africa,Uncategorized,2014,0
2014.MMP00032,2014.MMP00032,Incident,North America,4/3/2014,1,Guatemala,Central America,Northern America,2014,0
2014.MMP00033,2014.MMP00033,Incident,Europe,9/3/2014,1,Albania,Europe,Western Europe,2014,0
2014.MMP00034,2014.MMP00034,Incident,South-eastern Asia,9/3/2014,5,Cambodia,Southern Asia,South-eastern Asia,2014,0
2014.MMP00035,2014.MMP00035,Incident,South-eastern Asia,9/3/2014,2,Myanmar,Southern Asia,South-eastern Asia,2014,0
2014.MMP00036,2014.MMP00036,Incident,Central America,11/3/2014,1,Ecuador,South America,Central America,2014,0
2014.MMP00037,2014.MMP00037,Incident,Eastern Africa,11/3/2014,0,Somalia,Eastern Africa,Uncategorized,2014,44
2014.MMP00038,2014.MMP00038,Incident,Europe,12/3/2014,1,Ethiopia,Eastern Africa,Western Europe,2014,0
2014.MMP00039,2014.MMP00039,Incident,North America,13/3/2014,1,El Salvador,Central America,Northern America,2014,0
2014.MMP00040,2014.MMP00040,Incident,Europe,14/3/2014,1,Ethiopia,Eastern Africa,Western Europe,2014,0
2014.MMP00041,2014.MMP00041,Incident,Europe,15/3/2014,1,Ethiopia,Eastern Africa,Western Europe,2014,0
2014.MMP00042,2014.MMP00042,Incident,North America,15/3/2014,1,Unknown,Latin America / Caribbean (P),Northern America,2014,0
2014.MMP00043,2014.MMP00043,Incident,North America,15/3/2014,1,Unknown,Latin America / Caribbean (P),Northern America,2014,0
2014.MMP00044,2014.MMP00044,Incident,Mediterranean,17/3/2014,1,Unknown,Unknown,Uncategorized,2014,0
2014.MMP00045,2014.MMP00045,Incident,Mediterranean,18/3/2014,7,Syrian Arab Republic,Western Asia,Uncategorized,2014,2
2014.MMP00046,2014.MMP00046,Incident,Eastern Africa,22/3/2014,251,Congo,Middle Africa,Eastern Africa,2014,0
2014.MMP00047,2014.MMP00047,Incident,North America,23/3/2014,1,Unknown,Latin America / Caribbean (P),Northern America,2014,0
2014.MMP00048,2014.MMP00048,Incident,North America,26/3/2014,1,Unknown,Latin America / Caribbean (P),Northern America,2014,0
2014.MMP00049,2014.MMP00049,Incident,North America,26/3/2014,1,Unknown,Latin America / Caribbean (P),Northern America,2014,0
2014.MMP00050,2014.MMP00050,Incident,Central America,26/3/2014,1,Guatemala,Central America,Central America,2014,0
2014.MMP00051,2014.MMP00051,Incident,North America,30/3/2014,1,Unknown,Latin America / Caribbean (P),Northern America,2014,0
2014.MMP00052,2014.MMP00052,Incident,North America,30/3/2014,1,Unknown,Latin America / Caribbean (P),Northern America,2014,0
2014.MMP00053,2014.MMP00053,Incident,North America,30/3/2014,1,El Salvador,Central America,Northern America,2014,0
2014.MMP00054,2014.MMP00054,Incident,North America,2/4/2014,1,Mexico,Central America,Northern America,2014,0
2014.MMP00055,2014.MMP00055,Incident,Eastern Africa,9/4/2014,17,Zimbabwe,Eastern Africa,Eastern Africa,2014,0
2014.MMP00056,2014.MMP00056,Incident,Mediterranean,9/4/2014,1,Unknown,Unknown,Uncategorized,2014,0
